source	site	layer	kind	position	label	l0
addsub-05-filter-integers	layers.23.mlp.up_proj	23	mlp.up_proj	1	a	2.4940
addsub-05-filter-integers	layers.23.mlp.up_proj	23	mlp.up_proj	2	op	3.2135
addsub-05-filter-integers	layers.23.mlp.up_proj	23	mlp.up_proj	3	b	3.0698
addsub-05-filter-integers	layers.23.mlp.up_proj	23	mlp.up_proj	4	=	5.6030
addsub-05-filter-integers	layers.23.self_attn.k_proj	23	self_attn.k_proj	0	<BOS>	1.0000
addsub-05-filter-integers	layers.23.self_attn.k_proj	23	self_attn.k_proj	1	a	1.0647
addsub-05-filter-integers	layers.23.self_attn.k_proj	23	self_attn.k_proj	2	op	0.4437
addsub-05-filter-integers	layers.23.self_attn.k_proj	23	self_attn.k_proj	3	b	0.4083
addsub-05-filter-integers	layers.23.self_attn.k_proj	23	self_attn.k_proj	4	=	0.0005
addsub-05-filter-integers	layers.23.self_attn.o_proj	23	self_attn.o_proj	0	<BOS>	0.0000
addsub-05-filter-integers	layers.23.self_attn.o_proj	23	self_attn.o_proj	1	a	0.0393
addsub-05-filter-integers	layers.23.self_attn.o_proj	23	self_attn.o_proj	2	op	0.5652
addsub-05-filter-integers	layers.23.self_attn.o_proj	23	self_attn.o_proj	3	b	0.4868
addsub-05-filter-integers	layers.23.self_attn.o_proj	23	self_attn.o_proj	4	=	1.2320
addsub-05-filter-integers	layers.23.self_attn.q_proj	23	self_attn.q_proj	0	<BOS>	0.0000
addsub-05-filter-integers	layers.23.self_attn.q_proj	23	self_attn.q_proj	1	a	1.0000
addsub-05-filter-integers	layers.23.self_attn.q_proj	23	self_attn.q_proj	2	op	1.0650
addsub-05-filter-integers	layers.23.self_attn.q_proj	23	self_attn.q_proj	3	b	1.0000
addsub-05-filter-integers	layers.23.self_attn.q_proj	23	self_attn.q_proj	4	=	1.0000
addsub-05-filter-integers	layers.23.self_attn.v_proj	23	self_attn.v_proj	0	<BOS>	1.0000
addsub-05-filter-integers	layers.23.self_attn.v_proj	23	self_attn.v_proj	1	a	1.4362
addsub-05-filter-integers	layers.23.self_attn.v_proj	23	self_attn.v_proj	2	op	0.8673
addsub-05-filter-integers	layers.23.self_attn.v_proj	23	self_attn.v_proj	3	b	0.4815
addsub-05-filter-integers	layers.23.self_attn.v_proj	23	self_attn.v_proj	4	=	0.0000
addsub-05-filter-integers	layers.24.mlp.down_proj	24	mlp.down_proj	0	<BOS>	1.0000
addsub-05-filter-integers	layers.24.mlp.down_proj	24	mlp.down_proj	1	a	3.5268
addsub-05-filter-integers	layers.24.mlp.down_proj	24	mlp.down_proj	2	op	3.6063
addsub-05-filter-integers	layers.24.mlp.down_proj	24	mlp.down_proj	3	b	4.7578
addsub-05-filter-integers	layers.24.mlp.down_proj	24	mlp.down_proj	4	=	6.0895
addsub-05-filter-integers	layers.24.mlp.gate_proj	24	mlp.gate_proj	0	<BOS>	2.0000
addsub-05-filter-integers	layers.24.mlp.gate_proj	24	mlp.gate_proj	1	a	2.9035
addsub-05-filter-integers	layers.24.mlp.gate_proj	24	mlp.gate_proj	2	op	3.0825
addsub-05-filter-integers	layers.24.mlp.gate_proj	24	mlp.gate_proj	3	b	2.9020
addsub-05-filter-integers	layers.24.mlp.gate_proj	24	mlp.gate_proj	4	=	6.4020
addsub-05-filter-integers	layers.24.mlp.up_proj	24	mlp.up_proj	0	<BOS>	2.0000
addsub-05-filter-integers	layers.24.mlp.up_proj	24	mlp.up_proj	1	a	2.1957
addsub-05-filter-integers	layers.24.mlp.up_proj	24	mlp.up_proj	2	op	2.8405
addsub-05-filter-integers	layers.24.mlp.up_proj	24	mlp.up_proj	3	b	3.3610
addsub-05-filter-integers	layers.24.mlp.up_proj	24	mlp.up_proj	4	=	5.4187
addsub-05-filter-integers	layers.24.self_attn.k_proj	24	self_attn.k_proj	0	<BOS>	1.0000
addsub-05-filter-integers	layers.24.self_attn.k_proj	24	self_attn.k_proj	1	a	1.0000
